ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
813,Michael Gilroy (D),Sacred Heart University,19,2,5,7,0.37,4,2
814,Garrett Wait (LW),University of Minnesota,21,2,5,7,0.33,0,1
815,Kevin Wall (RW),Penn State University,26,2,5,7,0.27,8,1
816,Jack Gorniak (LW/C),University of Wisconsin,28,2,5,7,0.25,8,-7
817,Matthew Allen (C),Union College,28,2,5,7,0.25,12,1
818,Carter Jones (F),Bemidji State University,30,2,5,7,0.23,2,5
819,Trey Dodd (F),Brown University,30,2,5,7,0.23,4,0
820,Hunter Wendt (F),Ferris State University,31,2,5,7,0.23,23,-11
821,Jeff Baum (D),American International College,32,2,5,7,0.22,14,4
822,Greyson Reitmeier (LW/C),Michigan Tech,33,2,5,7,0.21,6,-9
823,Adrien Bisson (D),University of Maine,33,2,5,7,0.21,29,2
824,Jonathan Lazarus (RW),Mercyhurst University,34,2,5,7,0.21,4,-19
825,Zach Berzolla (D),Colorado College,34,2,5,7,0.21,62,-7
826,Jack Perbix (RW/D),University of Minnesota,35,2,5,7,0.20,16,-5
827,Tyler Inamoto (D),University of Wisconsin,35,2,5,7,0.20,16,-9
828,Jagger Joshua (LW/RW),Michigan State University,36,2,5,7,0.19,35,0
829,Josh Kosack (RW),Union College,37,2,5,7,0.19,12,-6
830,Emil Westerlund (LW/RW),University of Maine,18,1,6,7,0.39,12,2
831,Patrick Dawson (D),Sacred Heart University,21,1,6,7,0.33,10,6
832,Shawn Knowlton (F),Air Force Academy,24,1,6,7,0.29,2,-2
833,Evan Bell (D),Penn State University,25,1,6,7,0.28,8,10
834,Cam Clarke (D),Ferris State University,27,1,6,7,0.26,4,-10
835,Jake Stella (LW),American International College,27,1,6,7,0.26,8,-1
836,Eriks Zohovs (C),University of Alaska-Fairbanks,27,1,6,7,0.26,8,-9
837,Ryan O'Connell (D),Ohio State University,29,1,6,7,0.24,6,0
838,Dominic Dockery (D),Merrimack College,29,1,6,7,0.24,8,-15
839,Dustyn McFaul (D),Clarkson University,31,1,6,7,0.23,14,7
840,Kirby Proctor (D),University of Nebraska-Omaha,32,1,6,7,0.22,12,9
841,Greg Moro (D),Clarkson University,32,1,6,7,0.22,20,2
842,Dayne Finnson (D),University of Alabama-Huntsville,32,1,6,7,0.22,21,-20
843,Cody Fleckenstein (D),Army (U.S. Military Academy),33,1,6,7,0.21,16,5
844,Anthony Wyse (D),University of New Hampshire,33,1,6,7,0.21,51,7
845,Ty Pochipinski (F),Air Force Academy,36,1,6,7,0.19,10,1
846,Nate Knoepke (D),University of Nebraska-Omaha,36,1,6,7,0.19,16,4
847,Jesse Lansdell (LW),University of Notre Dame,37,1,6,7,0.19,37,-2
848,John DeRoche (D/F),University of Vermont,28,0,7,7,0.25,2,-6
849,Joey Matthews (D),Dartmouth College,29,0,7,7,0.24,19,-1
850,Hudson Lambert (D),Canisius College,30,0,7,7,0.23,23,-7
851,Ethan Johnson (F),Mercyhurst University,32,0,7,7,0.22,29,-14
852,Jordan Schneider (D),Clarkson University,34,0,7,7,0.21,43,5
853,Nick Hale (D),College of the Holy Cross,35,0,7,7,0.20,16,-6
854,Dylan Woolf (D),St. Lawrence University,36,0,7,7,0.19,51,-18
855,Will Zmolek (D),Bemidji State University,37,0,7,7,0.19,20,-1
856,Luke Loheit (RW),University of Minnesota-Duluth,33,5,1,6,0.18,8,-5
857,Austin Wong (RW/C),Harvard University,21,4,2,6,0.29,18,-1
858,Adam Conquest (RW),Bowling Green State University,23,4,2,6,0.26,4,3
859,Justin Cmunt (LW),Mercyhurst University,27,4,2,6,0.22,8,-20
860,Ron Greco (F),Boston College,27,4,2,6,0.22,23,4
861,Grant Cooper (LW),Clarkson University,33,4,2,6,0.18,8,-4
862,Vimal Sukumaran (RW),Providence College,33,4,2,6,0.18,32,1
863,Evan Dougherty (RW),Bowling Green State University,33,4,2,6,0.18,45,4
864,Michael Coyne (F),Robert Morris University,36,4,2,6,0.17,35,4
865,Jordan Seyfert (C),Merrimack College,16,3,3,6,0.38,10,-3
866,Sam Stevens (C/LW),Boston University,20,3,3,6,0.30,14,-1
867,Baker Shore (RW),Harvard University,30,3,3,6,0.20,20,6
868,Nathan Krusko (C),Harvard University,31,3,3,6,0.19,14,-4
869,Roman Kraemer (F),Robert Morris University,31,3,3,6,0.19,16,-3
870,Tyler Gratton (RW),Penn State University,31,3,3,6,0.19,24,-5
871,Nathan Burke (C/LW),University of Minnesota,32,3,3,6,0.19,2,-9
872,Justin Howell (C),University of Connecticut,32,3,3,6,0.19,33,-5
873,Luke Johnson (D),Providence College,33,3,3,6,0.18,2,7
874,Anthony Baxter (D),UMass-Lowell,33,3,3,6,0.18,38,4
875,Cam McDonald (D),Providence College,34,3,3,6,0.18,18,0
876,Alex Ambrosio (F),Lake Superior State University,34,3,3,6,0.18,33,-11
877,Cole Krygier (D),Michigan State University,36,3,3,6,0.17,20,0
878,Noah Jordan (RW),Miami University (Ohio),15,2,4,6,0.40,0,1
879,Cameron Cook (F),Niagara University,18,2,4,6,0.33,10,2
880,Tristan Crozier (F),Brown University,19,2,4,6,0.32,16,-11
881,Luke Rowe (D),Air Force Academy,22,2,4,6,0.27,27,1
882,Justin Cole (F),American International College,24,2,4,6,0.25,0,-1
883,Joachim Weberg (LW),Brown University,24,2,4,6,0.25,2,4
884,Tyler Jeanson (C),Colgate University,25,2,4,6,0.24,4,0
885,Thomas Beretta (C),University of Vermont,31,2,4,6,0.19,14,-10
886,Justin Lee (D),University of Denver,31,2,4,6,0.19,22,2
887,Jaxon Nelson (C/RW),University of Minnesota,33,2,4,6,0.18,2,-7
888,Brendan van Riemsdyk (C),Northeastern University,33,2,4,6,0.18,27,-4
889,Shane Kavanagh (F),Providence College,34,2,4,6,0.18,12,-11
890,Max Kaufman (F),University of Vermont,34,2,4,6,0.18,12,-10
891,Ryan Verrier (D),University of New Hampshire,34,2,4,6,0.18,37,-3
892,Didrik Henbrant (RW/C),University of Alaska-Fairbanks,36,2,4,6,0.17,16,-3
893,Zach Court (LW),University of Alaska-Anchorage,23,1,5,6,0.26,10,-12
894,Kip Hoffmann (F),Robert Morris University,23,1,5,6,0.26,10,1
895,Pito Walton (D),Princeton University,25,1,5,6,0.24,6,-16
896,Brian Chambers (RW),UMass-Lowell,25,1,5,6,0.24,6,-3
897,Matthew Verboon (RW/C),Colgate University,25,1,5,6,0.24,8,-6
898,Shane Kuzmeski (D),Clarkson University,26,1,5,6,0.23,12,3
899,Jack Zielinski (D),Niagara University,27,1,5,6,0.22,8,7
900,Drew Helleson (D),Boston College,28,1,5,6,0.21,12,12
901,Kyle Stephan (RW),American International College,28,1,5,6,0.21,12,-4
902,Ryan Cox (F),Niagara University,29,1,5,6,0.21,29,0
903,Liam Gorman (C),Princeton University,31,1,5,6,0.19,18,-14
904,Michael Higgins (D),College of the Holy Cross,32,1,5,6,0.19,10,0
905,Antti Virtanen (D),University of Alaska-Fairbanks,33,1,5,6,0.18,22,0
